iter	RMSE
0	14.14052135
1	13.23007996
2	12.51617837
3	11.77982546
4	11.19854717
5	10.68005816
6	10.14625034
7	9.646443351
8	9.235805586
9	8.831322051
10	8.590021471
11	8.298808921
12	8.007683683
13	7.737325194
14	7.503413423
15	7.256216984
16	7.085899128
17	6.916669727
18	6.771603473
19	6.648072213
20	6.524562126
21	6.415562964
22	6.333461306
23	6.240134082
24	6.159402638
25	6.075835734
26	6.029547486
27	5.965928688
28	5.915119384
29	5.869039718
30	5.822172877
31	5.79586794
32	5.761770061
33	5.725051796
34	5.696533091
35	5.66443373
36	5.63590786
37	5.602700069
38	5.577921025
39	5.557003111
40	5.540153408
41	5.523694446
42	5.509932829
43	5.491995362
44	5.471199931
45	5.457850213
46	5.446994373
47	5.433957034
48	5.425384093
49	5.410093854
50	5.39839078
51	5.390593875
52	5.384221284
53	5.371338831
54	5.361714255
55	5.349696399
56	5.339957634
57	5.333301185
58	5.324298978
59	5.319373617
60	5.311585873
61	5.300944835
62	5.290826366
63	5.283766646
64	5.274973466
65	5.266006423
66	5.259270714
67	5.25134203
68	5.244114203
69	5.238797365
70	5.228488241
71	5.22481284
72	5.21866878
73	5.213353973
74	5.2066107
75	5.195707573
76	5.192068405
77	5.184929832
78	5.180159841
79	5.177837853
80	5.173990793
81	5.171494329
82	5.168319195
83	5.162222326
84	5.159043679
85	5.143030968
86	5.133139387
87	5.126683171
88	5.117354297
89	5.109905906
90	5.099862034
91	5.096365655
92	5.092216324
93	5.085655541
94	5.084464038
95	5.082714029
96	5.072808625
97	5.065849547
98	5.058174189
99	5.046421127
