iter	Passed	Remaining
0	136	13476
1	136	6690
2	136	4425
3	137	3292
4	137	2612
5	137	2159
6	138	1836
7	138	1592
8	138	1403
9	139	1254
10	139	1131
11	140	1028
12	140	939
13	140	865
14	141	800
15	141	743
16	141	692
17	142	648
18	142	608
19	142	571
20	143	538
21	143	509
22	143	481
23	144	457
24	144	434
25	145	413
26	145	393
27	145	374
28	146	357
29	146	341
30	146	326
31	147	312
32	147	299
33	147	287
34	148	275
35	148	264
36	148	253
37	149	243
38	149	233
39	149	224
40	150	216
41	150	208
42	150	200
43	151	192
44	151	185
45	152	178
46	152	171
47	152	165
48	153	159
49	153	153
50	153	147
51	154	142
52	154	136
53	154	131
54	155	126
55	155	122
56	155	117
57	155	112
58	156	108
59	156	104
60	156	100
61	157	96
62	157	92
63	158	88
64	158	85
65	158	81
66	159	78
67	159	75
68	159	71
69	160	68
70	160	65
71	160	62
72	161	59
73	161	56
74	161	53
75	162	51
76	162	48
77	162	45
78	163	43
79	163	40
80	163	38
81	163	35
82	164	33
83	164	31
84	165	29
85	165	26
86	165	24
87	165	22
88	166	20
89	166	18
90	166	16
91	167	14
92	167	12
93	167	10
94	168	8
95	168	7
96	168	5
97	169	3
98	169	1
99	169	0
