iter	RMSE
0	14.65631309
1	14.27450927
2	13.93841806
3	13.58382283
4	13.26062925
5	12.93064569
6	12.60854701
7	12.28481052
8	11.99070763
9	11.73475776
10	11.45307249
11	11.20213474
12	10.95323681
13	10.71608724
14	10.48773687
15	10.28619255
16	10.07133539
17	9.865067897
18	9.666138107
19	9.500451754
20	9.326347905
21	9.168385577
22	8.995754333
23	8.878741627
24	8.715492617
25	8.57540183
26	8.440247259
27	8.324300533
28	8.188093812
29	8.055278528
30	7.934627103
31	7.805906391
32	7.688110627
33	7.578004126
34	7.49093026
35	7.394982624
36	7.302660507
37	7.208140107
38	7.12223935
39	7.030633408
40	6.955463626
41	6.876786221
42	6.807707922
43	6.749615028
44	6.684184471
45	6.619181422
46	6.562051392
47	6.497836357
48	6.442873175
49	6.389826966
50	6.33863479
51	6.285474368
52	6.234553716
53	6.18746922
54	6.142862888
55	6.103906901
56	6.069883351
57	6.031383749
58	5.993301118
59	5.957000522
60	5.928058506
61	5.893648191
62	5.861308325
63	5.833576081
64	5.807991129
65	5.785809042
66	5.759606555
67	5.737551968
68	5.714411972
69	5.694766215
70	5.67403603
71	5.655373501
72	5.636544213
73	5.617393749
74	5.600196739
75	5.584842929
76	5.564902859
77	5.544893083
78	5.527812822
79	5.509864323
80	5.498701263
81	5.486017282
82	5.469721644
83	5.460856704
84	5.450844318
85	5.433932025
86	5.420121009
87	5.404375565
88	5.393934361
89	5.383232782
90	5.370747087
91	5.357273686
92	5.347040985
93	5.333540698
94	5.323699342
95	5.313042624
96	5.300379137
97	5.290151514
98	5.28107105
99	5.269361901
100	5.263336884
101	5.25572478
102	5.248589309
103	5.240913227
104	5.233373743
105	5.22456953
106	5.214378653
107	5.206489625
108	5.193918827
109	5.18703303
110	5.179916779
111	5.169654663
112	5.164793593
113	5.156714421
114	5.152663251
115	5.145613729
116	5.139233349
117	5.135631843
118	5.130433163
119	5.124798988
120	5.118094659
121	5.113256415
122	5.108093055
123	5.098186765
124	5.092350483
125	5.086888407
126	5.081542528
127	5.0776752
128	5.074892629
129	5.065921928
130	5.062239166
131	5.058302152
132	5.054582896
133	5.048924436
134	5.042924958
135	5.038226569
136	5.034864708
137	5.028480215
138	5.027307198
139	5.023839152
140	5.022374672
141	5.019614994
142	5.01470569
143	5.011525162
144	5.008358458
145	5.002829571
146	4.998641063
147	4.994819511
148	4.99204943
149	4.985006299
150	4.980137471
151	4.974857686
152	4.965377838
153	4.962107852
154	4.957631535
155	4.956025884
156	4.952680438
157	4.947428811
158	4.942591942
159	4.939814401
160	4.9368624
161	4.933332896
162	4.932037396
163	4.927835473
164	4.925709689
165	4.924239755
166	4.920857466
167	4.91510001
168	4.914345768
169	4.910295494
170	4.905720201
171	4.89984987
172	4.896857148
173	4.89396731
174	4.890830324
175	4.885987084
176	4.881476803
177	4.879447753
178	4.874895855
179	4.87176797
180	4.86804044
181	4.86552382
182	4.860502307
183	4.857281223
184	4.854866529
185	4.849942079
186	4.843857732
187	4.83964108
188	4.835475778
189	4.830537028
190	4.825275014
191	4.822236458
192	4.820628891
193	4.816833565
194	4.814141942
195	4.809591865
196	4.807179468
197	4.805350725
198	4.801669041
199	4.796200233
200	4.793477663
201	4.790431954
202	4.787907201
203	4.786772976
204	4.78313247
205	4.779515008
206	4.777008042
207	4.774840298
208	4.772697655
209	4.7691572
210	4.767031686
211	4.764711934
212	4.761921096
213	4.758960711
214	4.755667579
215	4.75079413
216	4.748355915
217	4.745598186
218	4.741312045
219	4.737542962
220	4.735647035
221	4.732831393
222	4.7283155
223	4.723623419
224	4.720638406
225	4.717025987
226	4.713724889
227	4.706464456
228	4.70080049
229	4.696516318
230	4.694416159
231	4.691794581
232	4.68821138
233	4.686045826
234	4.684872114
235	4.682946193
236	4.680680442
237	4.680344095
238	4.679732255
239	4.677887653
240	4.677242534
241	4.674432431
242	4.672004303
243	4.668089256
244	4.666427756
245	4.662825781
246	4.659485618
247	4.656350571
248	4.655511669
249	4.650396687
250	4.645615937
251	4.642435369
252	4.638421991
253	4.635279793
254	4.633708119
255	4.631787866
256	4.630291932
257	4.62370648
258	4.619848997
259	4.615920966
260	4.613699391
261	4.612353561
262	4.609094924
263	4.603202344
264	4.600915642
265	4.597775842
266	4.597246926
267	4.596728329
268	4.5916322
269	4.591266927
270	4.585847724
271	4.583628056
272	4.583289086
273	4.583049825
274	4.580333896
275	4.575169156
276	4.570151833
277	4.567475894
278	4.567210848
279	4.564491986
280	4.562178644
281	4.559998988
282	4.556813111
283	4.556529543
284	4.553859785
285	4.552608789
286	4.550117893
287	4.547127686
288	4.546660551
289	4.542518219
290	4.540467848
291	4.539816991
292	4.53751514
293	4.537313242
294	4.532591744
295	4.52842085
296	4.522611269
297	4.521293627
298	4.521106975
299	4.520926937
300	4.518471018
301	4.511526825
302	4.511101879
303	4.508483425
304	4.501837025
305	4.496259054
306	4.494229521
307	4.491959057
308	4.488350212
309	4.487097689
310	4.482411491
311	4.476210417
312	4.473530708
313	4.470423143
314	4.469035138
315	4.464743013
316	4.461665753
317	4.461475076
318	4.456564876
319	4.453055053
320	4.449677679
321	4.449511463
322	4.449375923
323	4.445609318
324	4.440244271
325	4.437881355
326	4.434222934
327	4.430929452
328	4.428242213
329	4.427657936
330	4.427529382
331	4.425990604
332	4.421753319
333	4.416693937
334	4.416535998
335	4.412354422
336	4.412090577
337	4.4095845
338	4.407090545
339	4.404192243
340	4.401930461
341	4.400338212
342	4.395814065
343	4.392765216
344	4.38721012
345	4.380712327
346	4.376695585
347	4.376341725
348	4.371174
349	4.365635864
350	4.361548411
351	4.35797144
352	4.357815924
353	4.357667664
354	4.35430352
355	4.350232578
356	4.349055419
357	4.343503939
358	4.341777242
359	4.340217829
360	4.335986949
361	4.332126071
362	4.328144553
363	4.326023171
364	4.32547807
365	4.322663792
366	4.318806209
367	4.317304726
368	4.315746534
369	4.312894825
370	4.311969821
371	4.309367127
372	4.305437925
373	4.305289303
374	4.302756849
375	4.301883995
376	4.301749159
377	4.296259991
378	4.291584652
379	4.287604191
380	4.282893545
381	4.279938917
382	4.27627427
383	4.273473699
384	4.271101013
385	4.268139812
386	4.265745762
387	4.259616269
388	4.255771956
389	4.251581958
390	4.247961115
391	4.241982085
392	4.239733805
393	4.237676704
394	4.23417235
395	4.230900051
396	4.229351117
397	4.227262691
398	4.226722933
399	4.224830557
400	4.223081745
401	4.221144216
402	4.221016904
403	4.218835924
404	4.218613179
405	4.214998393
406	4.214881997
407	4.213421861
408	4.209974955
409	4.207704587
410	4.206395926
411	4.204687089
412	4.202444003
413	4.201329127
414	4.200114685
415	4.197181264
416	4.192649435
417	4.189310082
418	4.185224382
419	4.183156515
420	4.182262354
421	4.175985397
422	4.173388663
423	4.169714843
424	4.167803311
425	4.166887834
426	4.163655893
427	4.157985012
428	4.15627611
429	4.152815158
430	4.151272264
431	4.148354096
432	4.145327872
433	4.144451965
434	4.140078893
435	4.137483608
436	4.132493054
437	4.131660208
438	4.129841229
439	4.127279775
440	4.121860196
441	4.120578409
442	4.116718376
443	4.113544173
444	4.111858789
445	4.10914411
446	4.105404761
447	4.104369935
448	4.10326944
449	4.102186583
450	4.100231908
451	4.098845512
452	4.093813313
453	4.091779963
454	4.089499985
455	4.088238177
456	4.085228853
457	4.081160402
458	4.078691556
459	4.076609661
460	4.073031551
461	4.069970863
462	4.066168232
463	4.065803826
464	4.064714
465	4.062724675
466	4.058896955
467	4.058601662
468	4.058401533
469	4.053569263
470	4.05167205
471	4.050794287
472	4.050674817
473	4.047554893
474	4.043088632
475	4.040095192
476	4.03869551
477	4.036500043
478	4.035938165
479	4.034097679
480	4.032485577
481	4.032405459
482	4.031710244
483	4.031073464
484	4.028741168
485	4.026671207
486	4.024785981
487	4.02218138
488	4.020382918
489	4.017350585
490	4.01621324
491	4.015133338
492	4.012558794
493	4.006426616
494	4.004633126
495	4.00180131
496	4.000065056
497	3.997187444
498	3.994700279
499	3.993389578
500	3.991762036
501	3.991661598
502	3.991501204
503	3.989732762
504	3.988651192
505	3.987250423
506	3.983529358
507	3.980671625
508	3.979210412
509	3.977132968
510	3.975502809
511	3.973946549
512	3.973229323
513	3.970708425
514	3.968822748
515	3.966599502
516	3.966445435
517	3.965840753
518	3.964306762
519	3.960150408
520	3.955089038
521	3.954814904
522	3.953867066
523	3.950705903
524	3.947554126
525	3.945265227
526	3.942235198
527	3.939449381
528	3.936132834
529	3.934627853
530	3.931696867
531	3.930076394
532	3.924792772
533	3.922454162
534	3.921977102
535	3.919472671
536	3.917620048
537	3.914442298
538	3.912896998
539	3.911462697
540	3.909695061
541	3.907480925
542	3.906244192
543	3.903604787
544	3.89923187
545	3.898737888
546	3.896942354
547	3.896787799
548	3.895583908
549	3.892702637
550	3.889686108
551	3.889118208
552	3.88880791
553	3.887369541
554	3.885245348
555	3.884249538
556	3.879564834
557	3.878316373
558	3.877089088
559	3.875587103
560	3.87316281
561	3.870586608
562	3.869279193
563	3.867743926
564	3.866473574
565	3.865233272
566	3.863708275
567	3.858875343
568	3.853959157
569	3.852434507
570	3.848361615
571	3.847960785
572	3.843797755
573	3.84308564
574	3.84221183
575	3.840275096
576	3.839889764
577	3.838867342
578	3.83845233
579	3.836286258
580	3.83263085
581	3.830979127
582	3.829993924
583	3.829592906
584	3.829170699
585	3.829010411
586	3.827097159
587	3.824974473
588	3.824862257
589	3.823983709
590	3.821626345
591	3.821503134
592	3.819372156
593	3.819164286
594	3.814108845
595	3.811454886
596	3.809837237
597	3.807695809
598	3.80460971
599	3.803742587
600	3.802581051
601	3.801977194
602	3.80149084
603	3.800501356
604	3.800213538
605	3.798912212
606	3.79776852
607	3.794197535
608	3.791195789
609	3.786899642
610	3.784800295
611	3.784410608
612	3.782137646
613	3.780710506
614	3.779900855
615	3.777491972
616	3.776218202
617	3.775569619
618	3.77353094
619	3.771524506
620	3.770472919
621	3.769283059
622	3.76519019
623	3.764872435
624	3.763183021
625	3.760722764
626	3.759786998
627	3.756587821
628	3.756116154
629	3.754813827
630	3.754769321
631	3.750143018
632	3.748099561
633	3.747490009
634	3.747260199
635	3.745857556
636	3.744665766
637	3.742648139
638	3.740124745
639	3.739752116
640	3.737777485
641	3.736879319
642	3.734208094
643	3.73272978
644	3.732375014
645	3.728426018
646	3.728072457
647	3.724246095
648	3.721865215
649	3.721043287
650	3.719478221
651	3.717976935
652	3.715917226
653	3.715533613
654	3.712481907
655	3.71117557
656	3.707892447
657	3.706742258
658	3.705872119
659	3.702435081
660	3.700938235
661	3.699095186
662	3.698701337
663	3.698013429
664	3.695853553
665	3.694559322
666	3.689927796
667	3.688191262
668	3.688136308
669	3.685741278
670	3.68253307
671	3.681718378
672	3.679194258
673	3.679125077
674	3.677771317
675	3.675828445
676	3.672715386
677	3.670605367
678	3.667683023
679	3.666821121
680	3.666492704
681	3.664932114
682	3.663500359
683	3.660934545
684	3.659737062
685	3.659083727
686	3.658247255
687	3.655774695
688	3.654497535
689	3.652782639
690	3.651446598
691	3.649071578
692	3.646912237
693	3.642953682
694	3.63872812
695	3.636700488
696	3.633211111
697	3.632075589
698	3.628416045
699	3.627165949
700	3.625183575
701	3.622557782
702	3.6183364
703	3.616189679
704	3.612024229
705	3.608830778
706	3.607069128
707	3.607018758
708	3.605088872
709	3.602624908
710	3.601370472
711	3.600604909
712	3.599473374
713	3.599126621
714	3.598245303
715	3.597887855
716	3.596171228
717	3.591161682
718	3.589372366
719	3.587548833
720	3.585268925
721	3.581932135
722	3.581552394
723	3.579976526
724	3.579638047
725	3.578154753
726	3.577067603
727	3.576041254
728	3.574496906
729	3.572651669
730	3.572273704
731	3.57012766
732	3.567862064
733	3.566347249
734	3.56579728
735	3.565037657
736	3.563728826
737	3.562928238
738	3.560299044
739	3.559183344
740	3.55517143
741	3.554165136
742	3.552154057
743	3.550318618
744	3.548235792
745	3.546088465
746	3.545079193
747	3.541856725
748	3.541545899
749	3.53802208
750	3.537261716
751	3.534849204
752	3.532993212
753	3.532590174
754	3.531207727
755	3.528844579
756	3.524740862
757	3.521016408
758	3.520429631
759	3.519902979
760	3.517591357
761	3.51606418
762	3.513315138
763	3.512010203
764	3.50978201
765	3.509463999
766	3.508351067
767	3.504727647
768	3.503846503
769	3.502781555
770	3.50195083
771	3.50018543
772	3.499965186
773	3.498345267
774	3.496538102
775	3.494509394
776	3.492093649
777	3.488224739
778	3.484318316
779	3.482614612
780	3.481641275
781	3.480993564
782	3.480216277
783	3.479905011
784	3.477872954
785	3.476690494
786	3.476547661
787	3.472904725
788	3.471189541
789	3.469445312
790	3.466505778
791	3.465070398
792	3.464564651
793	3.460963183
794	3.45978672
795	3.458446326
796	3.456570874
797	3.455951462
798	3.455529183
799	3.455165135
800	3.453526147
801	3.452634776
802	3.450718478
803	3.446693696
804	3.445454802
805	3.442649775
806	3.441935381
807	3.440548929
808	3.438641739
809	3.438044358
810	3.435050119
811	3.434469879
812	3.433990948
813	3.432503131
814	3.430992822
815	3.427948671
816	3.427170141
817	3.425022311
818	3.422668472
819	3.419864843
820	3.417887534
821	3.416865121
822	3.414250247
823	3.412451213
824	3.411178588
825	3.409347839
826	3.408471987
827	3.407741338
828	3.407131339
829	3.40633847
830	3.40604471
831	3.402889479
832	3.400397239
833	3.398882995
834	3.396422311
835	3.393136997
836	3.392569927
837	3.392297545
838	3.391013268
839	3.388272357
840	3.386293648
841	3.383077165
842	3.380888753
843	3.378991425
844	3.378936283
845	3.378022372
846	3.377615722
847	3.37581025
848	3.374410422
849	3.372526205
850	3.371818425
851	3.368674974
852	3.367920539
853	3.366548546
854	3.365648145
855	3.364001496
856	3.361275906
857	3.35964188
858	3.35895705
859	3.358293166
860	3.357482201
861	3.357101051
862	3.355637417
863	3.354778597
864	3.353623309
865	3.351257334
866	3.348217125
867	3.347070733
868	3.345924637
869	3.343596488
870	3.342778713
871	3.342696529
872	3.34067483
873	3.337453476
874	3.335980174
875	3.334562939
876	3.333750846
877	3.329905915
878	3.327373154
879	3.326476322
880	3.324892903
881	3.322636161
882	3.321387292
883	3.320827391
884	3.319165287
885	3.318735618
886	3.31654044
887	3.315654822
888	3.312999559
889	3.310595044
890	3.309080954
891	3.308437484
892	3.305851952
893	3.30439742
894	3.302369264
895	3.301837754
896	3.300922103
897	3.29966121
898	3.299081367
899	3.298073285
900	3.298035965
901	3.295919344
902	3.293804402
903	3.292576977
904	3.291931926
905	3.288994617
906	3.285795335
907	3.282840645
908	3.28157628
909	3.279649998
910	3.276524018
911	3.275884463
912	3.275860402
913	3.27308221
914	3.271125052
915	3.269470946
916	3.268177755
917	3.264902299
918	3.261929837
919	3.260035307
920	3.259633463
921	3.257386014
922	3.256743599
923	3.254653337
