iter	Passed	Remaining
0	1	1296
1	1	925
2	2	758
3	2	689
4	3	651
5	3	608
6	4	597
7	4	590
8	5	576
9	5	571
10	6	561
11	6	551
12	7	550
13	7	543
14	8	538
15	8	534
16	9	529
17	9	522
18	10	517
19	10	511
20	10	504
21	11	500
22	11	496
23	12	496
24	12	494
25	13	493
26	13	491
27	14	488
28	14	484
29	14	482
30	15	480
31	15	481
32	16	479
33	16	478
34	17	479
35	17	478
36	18	478
37	18	476
38	19	474
39	19	472
40	20	470
41	20	469
42	21	468
43	21	467
44	21	466
45	22	465
46	22	464
47	23	464
48	23	463
49	24	462
50	24	461
51	25	459
52	25	460
53	26	459
54	26	458
55	27	456
56	27	455
57	27	453
58	28	452
59	28	452
60	29	451
61	29	450
62	30	450
63	30	450
64	31	450
65	31	449
66	32	449
67	32	448
68	33	448
69	33	447
70	34	446
71	34	445
72	35	445
73	35	445
74	36	444
75	36	443
76	36	441
77	37	440
78	37	440
79	38	440
80	38	440
81	39	439
82	39	438
83	40	437
84	40	436
85	41	435
86	41	435
87	41	433
88	42	433
89	42	433
90	43	432
91	43	430
92	44	430
93	44	429
94	45	428
95	45	428
96	46	428
97	46	429
98	47	429
99	47	428
100	48	428
101	48	427
102	49	427
103	49	426
104	49	425
105	50	424
106	50	424
107	51	423
108	51	423
109	52	423
110	52	422
111	53	421
112	53	419
113	53	418
114	54	417
115	54	416
116	55	415
117	55	415
118	55	414
119	56	413
120	56	412
121	57	411
122	57	410
123	58	410
124	58	409
125	58	409
126	59	408
127	59	407
128	60	407
129	60	406
130	61	407
131	61	407
132	62	407
133	63	407
134	63	408
135	64	408
136	64	409
137	65	408
138	65	408
139	66	407
140	66	407
141	67	405
142	67	405
143	68	405
144	68	404
145	69	404
146	69	403
147	70	403
148	70	402
149	70	402
150	71	401
151	71	401
152	72	400
153	72	400
154	73	399
155	73	398
156	74	398
157	74	398
158	75	398
159	75	398
160	76	398
161	76	398
162	77	397
163	77	397
164	78	396
165	78	396
166	79	396
167	79	395
168	80	395
169	80	394
170	81	393
171	81	393
172	82	392
173	82	391
174	82	391
175	83	390
176	83	389
177	84	389
178	84	389
179	85	388
180	85	388
181	86	387
182	86	386
183	87	386
184	87	385
185	88	385
186	88	384
187	88	384
188	89	383
189	89	383
190	90	382
191	90	382
192	91	381
193	91	381
194	92	381
195	92	381
196	93	380
197	93	380
198	94	379
199	94	379
200	95	378
201	95	378
202	96	377
203	96	376
204	97	376
205	97	376
206	97	375
207	98	374
208	98	374
209	99	373
210	99	373
211	100	372
212	100	372
213	101	371
214	101	370
215	102	370
216	102	370
217	102	369
218	103	368
219	103	368
220	104	367
221	104	366
222	105	366
223	105	365
224	106	365
225	106	365
226	107	365
227	107	364
228	108	364
229	108	363
230	109	363
231	109	362
232	110	362
233	110	361
234	110	361
235	111	360
236	111	360
237	112	359
238	112	359
239	113	358
240	113	357
241	114	357
242	114	356
243	115	356
244	115	355
245	115	355
246	116	354
247	116	354
248	117	353
249	117	353
250	118	352
251	118	352
252	119	351
253	119	351
254	119	350
255	120	349
256	120	349
257	121	348
258	121	348
259	122	348
260	122	347
261	123	347
262	123	346
263	124	346
264	124	345
265	125	345
266	125	344
267	126	344
268	126	343
269	126	343
270	127	342
271	127	342
